target_dates,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7
2020-08-15,375373,46660,28416,22447,19498,13619,8021,6579
2020-08-16,410879,39622,23287,17211,12564,11109,8477,5049
2020-08-17,360922,31740,18712,14693,10566,7137,6745,4677
2020-08-18,250920,26626,13437,11562,9588,7158,5144,3762
2020-08-19,250509,22446,11517,8015,7350,5894,4953,3575
2020-08-20,240130,21931,11254,7753,6592,5481,4581,3989
2020-08-21,245889,23839,13088,9400,5826,4733,4466,3845
2020-08-22,309080,35664,22453,18261,13837,9264,6650,5149
2020-08-23,302338,23134,14138,10372,9490,7153,4932,3547
2020-08-24,238601,18622,13340,9543,7738,6465,5093,3496
2020-08-25,233255,15644,6956,6176,5425,4642,3781,3302
2020-08-26,204368,13674,6992,4584,4489,3912,3923,3409
2020-08-27,203099,13732,7425,5192,3282,3703,3468,3168
2020-08-28,233828,16735,9635,6862,4799,2959,2451,2537
2020-08-29,317904,30291,17344,14599,11239,7650,3673,3070
2020-08-30,281924,21393,11304,7137,6402,4727,3005,1533
2020-08-31,217081,16212,11049,6974,4970,3570,1909,1355
2020-09-01,212139,13948,5917,4301,2934,2794,2298,1650
2020-09-02,181511,12053,5861,2902,2569,2014,1718,1521
2020-09-03,200933,13937,7061,3821,2260,1936,1658,1255
2020-09-04,273094,18169,10202,6903,3953,2337,1920,1455
2020-09-05,368606,33880,16121,12838,9835,6454,2854,2155
2020-09-06,247861,18088,8706,4996,4501,3123,2714,1274
2020-09-07,166569,12013,7825,5536,4177,3268,1788,1434
2020-09-08,208173,11667,5243,4439,2990,2517,1361,1219
2020-09-09,203239,14173,6429,3684,3179,2270,1605,1064
2020-09-10,213737,17147,8793,4882,3154,2586,2309,1634
2020-09-11,228685,19439,11259,7498,4580,3317,2099,1829
2020-09-12,325009,37059,21410,14878,12052,7910,4713,3237
2020-09-13,337081,20316,11476,8105,5876,4681,3015,1471
2020-09-14,199125,15787,9334,7328,4724,3414,2625,1673
2020-09-15,189038,14814,5445,4710,3474,2611,1926,1624
2020-09-16,177915,15104,6716,3891,3167,2384,1968,1627
2020-09-17,184417,15490,8906,4519,3114,2516,2012,1400
2020-09-18,216295,19028,10997,9063,5524,3035,2454,2384
2020-09-19,350567,35495,21319,16449,13681,9593,4510,3339
2020-09-20,289756,22958,11527,8083,6179,4939,3808,1956
2020-09-21,194993,15136,10033,6003,4815,3354,2568,1569
2020-09-22,191255,13314,5660,4676,3650,2615,1944,1591
2020-09-23,189874,15898,7089,3483,3237,2310,2008,1272
2020-09-24,197316,15924,8897,5798,2923,2383,2329,1723
2020-09-25,196911,17588,10485,7483,5447,3115,2411,1925
2020-09-26,312908,31767,20449,16436,13893,9218,4601,3509
2020-09-27,274024,18350,11149,8310,6850,5434,3780,2018
2020-09-28,216595,16115,10254,8008,5638,4764,3972,2381
2020-09-29,245334,20521,8344,7226,7464,6488,4922,4206
2020-09-30,308066,33228,20000,11022,9414,10011,8754,7593
2020-10-01,337163,30765,16840,12656,7102,5681,6418,5577
2020-10-02,321653,29481,14777,11612,8265,4394,3203,3602
2020-10-03,300607,21603,10396,7374,6406,4686,2193,2077
2020-10-04,237715,14508,7125,4370,3343,2464,1836,1183
2020-10-05,181673,14017,7343,4729,4066,3571,3124,1739
2020-10-06,179164,11264,4758,3061,2400,1936,1857,1659
2020-10-07,179567,15534,6110,2868,2333,1901,1568,1480
2020-10-08,219259,20800,12233,7133,3804,2884,1992,1863
2020-10-09,337978,41297,25382,21309,13841,7265,4651,3867
2020-10-10,300086,31562,17328,12139,9930,6797,3725,2714
2020-10-11,245101,20774,11623,7915,5399,4307,2659,1499
2020-10-12,180933,14170,8907,8010,5874,3904,2877,1381
2020-10-13,189910,12477,5178,4026,3431,3153,2380,1740
2020-10-14,177553,16531,6591,3196,2509,2545,2072,1725
2020-10-15,167035,16769,9579,4524,2650,2141,1970,1895
2020-10-16,189820,17492,11024,9067,5434,3487,2222,1842
2020-10-17,291112,32504,20617,18067,15209,10202,5521,3301
2020-10-18,246386,21258,11583,9118,6920,5527,3653,2080
2020-10-19,190294,15975,10632,6677,4492,3646,2379,1332
2020-10-20,185163,15746,6933,4368,3530,2508,1924,1581
2020-10-21,177692,18271,7143,3659,2632,2152,2044,1773
2020-10-22,183887,18884,10736,5408,2932,2377,2376,1807
2020-10-23,201191,21995,13760,10314,6477,3581,2752,2589
