target_dates,op_rate_0d_all_cars,op_rate_1d_all_cars,op_rate_2d_all_cars,op_rate_3d_all_cars,op_rate_4d_all_cars,op_rate_5d_all_cars,op_rate_6d_all_cars,op_rate_7d_all_cars,op_rate_0d_major_cars,op_rate_1d_major_cars,op_rate_2d_major_cars,op_rate_3d_major_cars,op_rate_4d_major_cars,op_rate_5d_major_cars,op_rate_6d_major_cars,op_rate_7d_major_cars,click_d_day,click_d_1,click_d_2,click_d_3,click_d_4,click_d_5,click_d_6,click_d_7,is_clean,avg_precipitation,avg_temperature,month,year,week,weekday,is_weekend
2021-04-10,0.5169836335,0.2645677731,0.1833101431,0.1481157059,0.1224394652,0.1007836606,0.08447301766,0.07491456873,0.5134844687,0.2759040346,0.1887727646,0.1498419223,0.1209542371,0.09732666327,0.07986730677,0.07056054748,360172,41264,23430,18870,15955,10386,5441,4304,1,0.0,11.3,4,2021,14,5,True
2021-02-09,0.351386609,0.1725995753,0.1064349591,0.08529314321,0.07187904353,0.05740840742,0.04804175536,0.03582897675,0.3563530135,0.1808160422,0.1082877715,0.08533413253,0.07283077141,0.05687666189,0.04764945774,0.03328907861,208972,16069,8022,5368,4296,3524,3165,2765,0,0.1,0.5,2,2021,6,1,False
2020-05-31,0.4678611046,0.2155860717,0.1426873689,0.1018296194,0.08114408758,0.06442460643,0.0500591635,0.04009660308,0.4804887094,0.2322143597,0.1511087928,0.1073967563,0.08476242116,0.06765454808,0.05282260002,0.04228306303,257056,18364,9949,6598,5331,4096,2764,1451,0,25.5,19.9,5,2020,22,6,True
2020-07-21,0.3499896242,0.1773832817,0.1088760963,0.0935106678,0.08352242327,0.07045145954,0.06264572292,0.05623879618,0.3654211864,0.1871201659,0.1100980309,0.09330037223,0.08193447561,0.06767254852,0.05872190492,0.05365953457,224302,15177,6909,5966,5022,4771,4254,2778,0,38.7,24.5,7,2020,30,1,False
2021-04-12,0.3076039032,0.1576242899,0.1209188848,0.09972267882,0.08041112745,0.06794188751,0.05559100172,0.04749605887,0.3033065619,0.1594195202,0.1198345937,0.09887823236,0.07996732234,0.06824071714,0.05400664174,0.0465630045,166901,13764,9378,6714,4386,3441,2949,2132,0,240.5,13.1,4,2021,15,0,False
2020-05-05,0.3851617147,0.1736547774,0.1080431784,0.08589835092,0.07315306688,0.06037992676,0.04981795678,0.042858455,0.4003940759,0.1845330504,0.1108897399,0.08709664436,0.07401561673,0.06164613952,0.04995227581,0.04299489409,267045,21298,8101,5354,4015,2954,2329,1719,0,11.0,15.5,5,2020,19,1,False
2020-07-27,0.3113849771,0.1503153003,0.1099072085,0.08997755813,0.07834916997,0.06887965748,0.06206115011,0.05572522243,0.3202153281,0.1574085972,0.1135106812,0.09227568605,0.08084009447,0.06914971397,0.06203445632,0.05501668314,211464,15849,11250,7620,5808,4866,3796,3055,0,144.6,23.0,7,2020,31,0,False
2020-05-19,0.3163470377,0.1349898563,0.06802454402,0.0540886724,0.04320157897,0.03293570048,0.02541477783,0.02093283264,0.3305817852,0.1438819165,0.07228993525,0.05495023129,0.04412189206,0.03268607438,0.02528287959,0.0211080809,175345,10573,4074,3479,2677,2082,1826,1272,0,92.7,14.0,5,2020,21,1,False
2020-12-03,0.3197429474,0.1551888609,0.09395347616,0.06654326822,0.05253435653,0.0456536742,0.04029640632,0.0351941869,0.3275019612,0.1612490625,0.09542847194,0.06438654697,0.0512782982,0.04337623027,0.03725356263,0.03192301511,176011,13497,6723,3645,1911,1607,1474,1397,0,0.4,2.9,12,2020,49,3,False
2020-09-04,0.3381324025,0.1588387187,0.09408807229,0.06977479276,0.0534772131,0.04389532949,0.03761514659,0.03340498802,0.3448018458,0.1679755076,0.09933533643,0.07284079183,0.0556475538,0.04542057422,0.03805028225,0.03367514947,273094,18169,10202,6903,3953,2337,1920,1455,0,1.4,23.0,9,2020,36,4,False
